URL,Product Name,price(Rs),rating,reviews
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=sxin_26_trfobq2av2_3_B0821PYKVK?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PYKVK&pd_rd_r=68fda520-c3a5-4d19-a28a-39dd56a69b81&pd_rd_w=mz43D&pd_rd_wg=dNZj1&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=5V16JDRGD8KRZ5MA9PX6&qid=1692808468&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-973fd8bd-28ce-479e-8be4-fbaf1193947a,"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",329,4.3 out of 5 stars,"30,101 ratings"
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4/ref=sxin_26_trfobq2av2_4_B0821PN8L4?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PN8L4&pd_rd_r=68fda520-c3a5-4d19-a28a-39dd56a69b81&pd_rd_w=mz43D&pd_rd_wg=dNZj1&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=5V16JDRGD8KRZ5MA9PX6&qid=1692808468&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-973fd8bd-28ce-479e-8be4-fbaf1193947a,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium -(19 x 21 inches) - 30 bags/roll (Pack of 6, Black)",319,4.4 out of 5 stars,"34,507 ratings"
https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Smiling-Tiger/dp/B08D5N6QWN/ref=sxin_26_trfobq2av2_5_B08D5N6QWN?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08D5N6QWN&pd_rd_r=68fda520-c3a5-4d19-a28a-39dd56a69b81&pd_rd_w=mz43D&pd_rd_wg=dNZj1&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=5V16JDRGD8KRZ5MA9PX6&qid=1692808468&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-973fd8bd-28ce-479e-8be4-fbaf1193947a,"Blue Tree Kids Backpack Baby Girl Boy Tiger, Yellow",285,4.0 out of 5 stars,164 ratings
https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sxin_26_trfobq2av2_6_B09W4VMZ79?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W4VMZ79&pd_rd_r=68fda520-c3a5-4d19-a28a-39dd56a69b81&pd_rd_w=mz43D&pd_rd_wg=dNZj1&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=5V16JDRGD8KRZ5MA9PX6&qid=1692808468&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,699,4.0 out of 5 stars,379 ratings
https://www.amazon.in/Dyazo-Backpack-Business-Notebook-computer/dp/B0C7HC675G/ref=sxin_26_trfobq2av2_7_B0C7HC675G?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0C7HC675G&pd_rd_r=68fda520-c3a5-4d19-a28a-39dd56a69b81&pd_rd_w=mz43D&pd_rd_wg=dNZj1&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=5V16JDRGD8KRZ5MA9PX6&qid=1692808468&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a,Dyazo Slim 15.6 inch Laptop Backpack Business Notebook computer bag suitable for office College School Men & Women,599,4.5 out of 5 stars,9 ratings
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692808468&sprefix=ba%2Caps%2C283&sr=8-13,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,899,4.3 out of 5 stars,"6,520 ratings"
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692808468&sprefix=ba%2Caps%2C283&sr=8-14,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,819,3.9 out of 5 stars,"10,111 ratings"
https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692808468&sprefix=ba%2Caps%2C283&sr=8-15,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399",4.1 out of 5 stars,"5,864 ratings"
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692808468&sprefix=ba%2Caps%2C283&sr=8-16,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9 out of 5 stars,"3,459 ratings"
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692808468&sprefix=ba%2Caps%2C283&sr=8-17,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,199,3.7 out of 5 stars,"7,067 ratings"
